,EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,Investigation IDs
27755,212177247, 133.377779, 23.665426, 10.0, GO16020_LC|GO16052_LC
17217,211814879, 133.287804, 17.52679, 10.001, GO16052_LC
12247,211629981, 137.741823, 14.956537, 10.001, GO16052_LC
16681,211794319, 136.919732, 17.236207, 10.005, GO16009_LC|GO16021_LC|GO16028_LC
17351,211818898, 132.626847, 17.584589, 10.006, GO16052_LC
33359,251360161, 137.580823, 21.929321, 10.006, GO16052_LC
22001,211951764, 134.454013, 19.49932, 10.007, GO16021_LC|GO16028_LC
10432,211541973, 129.94819, 13.729914, 10.008, GO16052_LC
25204,212077104, 136.988002, 21.586896, 10.011, GO16052_LC
20919,211923188, 130.280672, 19.071227, 10.014, GO16009_LC|GO16010_LC|GO16021_LC|GO16022_LC|GO16028_LC|GO16031_LC|GO16060_LC|GO16065_LC
12505,211638342, 130.181376, 15.074572, 10.014, GO16052_LC
6186,211412092, 129.738438, 11.822828, 10.015, GO16001_LC|GO16009_LC|GO16020_LC|GO16021_LC|GO16028_LC|GO16041_LC
9015,211500476, 135.250476, 13.146692, 10.015, GO16009_LC|GO16021_LC|GO16028_LC
18136,211840709, 138.519559, 17.891638, 10.016, GO16009_LC|GO16020_LC|GO16021_LC|GO16028_LC|GO16052_LC|GO16083_LC
16811,211802717, 136.260476, 17.35502, 10.02, GO16009_LC|GO16021_LC|GO16028_LC|GO16074_LC|GO16083_LC
8114,211464171, 130.321791, 12.61625, 10.021, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
15775,211739570, 130.793385, 16.46058, 10.021, GO16009_LC|GO16021_LC|GO16028_LC
35045,251408897, 136.326756, 25.297834, 10.022, GO16009_LC|GO16020_LC|GO16052_LC|GO16063_LC|GO16083_LC
15452,211729425, 137.392756, 16.317222, 10.023, GO16021_LC|GO16028_LC
32770,251348143, 139.036125, 20.924537, 10.024, GO16052_LC
27449,212168508, 134.323627, 23.450864, 10.026, GO16009_LC|GO16021_LC|GO16028_LC
21158,211929403, 136.969013, 19.165479, 10.03, GO16009_LC|GO16021_LC|GO16028_LC
23090,212013928, 132.916128, 20.485559, 10.03, GO16009_LC|GO16021_LC|GO16028_LC
11628,211610750, 130.895597, 14.684725, 10.031, GO16021_LC
22027,211952381, 130.29175, 19.508913, 10.031, GO16021_LC|GO16022_LC|GO16031_LC|GO16060_LC
10276,211537615, 130.810323, 13.668162, 10.032, GO16021_LC|GO16028_LC
