Candidate,Kp,P[d],T0 [BJD-2454833],T14,(Rs/Rs)^2,Rs[Rsun],Teff[K],Rp[Re],Sinc[Fe],Comment
211397844.01,13.292,16.166729,3274.81627,0.1331,4653,3.5,4937,26.3,383,None
211502222.01,11.617,22.996469,3280.30463,0.155,515,1.4,6110,3.5,91,None
211529065.01,13.431,4.399372,3264.74269,0.0532,1156,0.7,4701,2.6,95,None
211533633.01,13.258,2.127017,3262.65841,0.059,724,0.5,3992,1.3,70,None
211552050.01,13.194,3.545471,3264.94603,0.061,607,0.7,4639,1.8,111,None
211631538.01,14.221,5.513105,3266.24807,0.0386,1886,0.7,4885,3.5,86,None
211638401.01,14.763,0.530219,3262.64715,0.0443,548,0.5,4067,1.3,548,None
211647930.01,11.982,14.759545,3264.39384,0.1712,1916,1.1,5846,5.3,90,None
211649214.01,14.726,3.787955,3265.41865,0.0688,3547,2.9,4993,19,1996,None
211673349.01,14.446,4.894435,3264.62717,0.0877,2702,0.5,4245,3,36,None
211730024.01,11.402,5.113776,3263.81006,0.0896,1078,1.7,6506,6.1,1129,None
211741619.01,13.564,2.787624,3263.82245,0.0311,1099,0.5,3919,1.7,45,None
211812935.01,12.64,3.608008,3264.87916,0.1141,5310,1.9,7348,15.5,3345,None
211816003.01,13.654,14.455276,3265.78864,0.114,1180,0.8,5434,3,41,None
211919004.01,13.131,11.722909,3265.36631,0.1546,1090,0.8,5086,2.9,41,None
211945201.01,10.115,19.492036,3280.93977,0.124,1475,1.3,6084,5.3,88,None
212036875.01,10.937,5.170131,3265.68053,0.0646,2345,1.4,6336,7.3,708,None
212040382.01,12.521,4.445545,3266.3492,0.1513,4648,1.3,6123,9.8,740,None
212041476.01,12.078,2.783774,3262.55678,0.053,393,1.4,5962,3.1,1427,None
212058012.01,11.018,11.560844,3266.11106,0.1281,283,1.1,5903,2.1,134,None
212069861.01,14.102,30.95501,3274.10951,0.1368,1696,0.4,3839,1.8,1.41,K2-123b(Dressing+2017)
212072539.01,14.874,7.677182,3263.56943,0.0733,2385,0.4,3857,2.1,8.9,None
212081533.01,12.731,3.35578,3262.74776,0.0635,833,0.3,3679,1,17,None
212099230.01,10.513,7.111692,3269.13864,0.1046,554,0.9,5537,2.3,135,None
212110888.01,11.441,2.995626,3263.95812,0.0813,6090,1.2,6093,10.5,1065,K2-34b(Lillo-Box+2016;Hirano+2016)
212154564.01,15.105,6.414024,3264.81441,0.0699,6800,0.3,3643,2.7,6.9,K2-124b(Dressing+2017)
212178066.01,6.793,15.615671,3262.88899,0.1256,365,1.2,6120,2.6,96,HD73344
212204403.01,12.482,4.688771,3263.71227,0.0964,1446,0.8,5025,3.3,130,possible_multi
212204403.02,12.482,12.554007,3271.42578,0.1179,917,0.8,5025,2.6,35,possible_multi
212219881.01,15.147,6.924813,3264.18565,0.1189,10630,0.8,5106,8.4,80,None
251292838.01,12.157,19.58196,3274.28574,0.1132,71135,1,5704,30.4,50,None
251319382.02,11.116,14.877227,3270.59086,0.1193,547,1.5,5966,3.8,170,None
